"data.0.hovertext","data.0.marker.size","data.0.x","data.0.y","data.1.hovertext","data.1.marker.size","data.1.x","data.1.y","data.2.hovertext","data.2.marker.size","data.2.x","data.2.y","data.3.hovertext","data.3.marker.size","data.3.x","data.3.y","data.4.hovertext","data.4.marker.size","data.4.x","data.4.y"
"Israel","6426679","25523.2771","80.745","Germany","82400996","32170.37442","79.406","Congo, Dem. Rep.","64606759","277.55185869999997","46.461999999999996","El Salvador","6939688","5728.353514","71.878","","","",""
"Japan","127467972","31656.06806","82.603","Greece","10706290","27538.41188","79.483","Congo, Rep.","3800610","3632.557798","55.321999999999996","Guatemala","12572928","5186.050003","70.259","","","",""
"Jordan","6053193","4519.461171","72.535","Hungary","9956108","18008.94444","73.33800000000001","Cote d'Ivoire","18013409","1544.750112","48.328","Haiti","8502814","1201.637154","60.916000000000004","","","",""
"Korea, Dem. Rep.","23301725","1593.06548","67.297","Iceland","301931","36180.789189999996","81.757","Djibouti","496374","2082.4815670000003","54.791000000000004","Honduras","7483763","3548.3308460000003","70.19800000000001","","","",""
"Korea, Rep.","49044790","23348.139730000003","78.623","Ireland","4109086","40675.99635","78.885","Egypt","80264543","5581.180998","71.33800000000001","Jamaica","2780132","7320.880262000001","72.567","","","",""
"Kuwait","2505559","47306.98978","77.58800000000001","Italy","58147733","28569.7197","80.546","Equatorial Guinea","551201","12154.08975","51.57899999999999","Mexico","108700891","11977.57496","76.195","","","",""
"Lebanon","3921278","10461.05868","71.993","Montenegro","684736","9253.896111","74.543","Eritrea","4906585","641.3695236000001","58.04","Nicaragua","5675356","2749.320965","72.899","","","",""
"Malaysia","24821286","12451.6558","74.241","Netherlands","16570613","36797.93332","79.762","Ethiopia","76511887","690.8055759","52.946999999999996","Panama","3242173","9809.185636","75.53699999999999","","","",""
"Mongolia","2874127","3095.7722710000003","66.803","Norway","4627926","49357.19017","80.196","Gabon","1454867","13206.48452","56.735","Paraguay","6667147","4172.838464","71.752","","","",""
"Myanmar","47761980","944.0","62.068999999999996","Poland","38518241","15389.924680000002","75.563","Gambia","1688359","752.7497265","59.448","Peru","28674757","7408.905561","71.421","","","",""
"Nepal","28901790","1091.359778","63.785","Portugal","10642836","20509.64777","78.098","Ghana","22873338","1327.60891","60.022","Puerto Rico","3942491","19328.70901","78.74600000000001","","","",""
"Oman","3204897","22316.19287","75.64","Romania","22276056","10808.47561","72.476","Guinea","9947814","942.6542111","56.007","Trinidad and Tobago","1056608","18008.50924","69.819","","","",""
"Pakistan","169270617","2605.94758","65.483","Serbia","10150265","9786.534714","74.002","Guinea-Bissau","1472041","579.2317429999999","46.388000000000005","United States","301139947","42951.65309","78.242","","","",""
"Philippines","91077287","3190.481016","71.688","Slovak Republic","5447502","18678.31435","74.663","Kenya","35610177","1463.249282","54.11","Uruguay","3447496","10611.46299","76.384","","","",""
"Saudi Arabia","27601038","21654.83194","72.777","Slovenia","2009245","25768.25759","77.926","Lesotho","2012649","1569.331442","42.592","Venezuela","26084662","11415.805690000001","73.747","","","",""
"Singapore","4553009","47143.179639999995","79.972","Spain","40448191","28821.0637","80.941","Liberia","3193942","414.5073415","45.678000000000004","","","","","","","",""
"Sri Lanka","20378239","3970.0954070000003","72.396","Sweden","9031088","33859.74835","80.884","Libya","6036914","12057.49928","73.952","","","","","","","",""
"Syria","19314747","4184.548089","74.143","Switzerland","7554661","37506.419069999996","81.70100000000001","Madagascar","19167654","1044.770126","59.443000000000005","","","","","","","",""
"Taiwan","23174294","28718.27684","78.4","Turkey","71158647","8458.276384","71.777","Malawi","13327079","759.3499101","48.303000000000004","","","","","","","",""
"Thailand","65068149","7458.3963269999995","70.616","United Kingdom","60776238","33203.26128","79.425","Mali","12031795","1042.581557","54.467","","","","","","","",""
"Vietnam","85262356","2441.576404","74.249","","","","","Mauritania","3270065","1803.1514960000002","64.164","","","","","","","",""
"West Bank and Gaza","4018332","3025.349798","73.422","","","","","Mauritius","1250882","10956.99112","72.801","","","","","","","",""
"Yemen, Rep.","22211743","2280.769906","62.698","","","","","Morocco","33757175","3820.17523","71.164","","","","","","","",""
"","","","","","","","","Mozambique","19951656","823.6856205","42.082","","","","","","","",""
"","","","","","","","","Namibia","2055080","4811.060429","52.906000000000006","","","","","","","",""
"","","","","","","","","Niger","12894865","619.6768923999999","56.867","","","","","","","",""
"","","","","","","","","Nigeria","135031164","2013.9773050000001","46.858999999999995","","","","","","","",""
"","","","","","","","","Reunion","798094","7670.122558","76.442","","","","","","","",""
"","","","","","","","","Rwanda","8860588","863.0884639000001","46.242","","","","","","","",""
"","","","","","","","","Sao Tome and Principe","199579","1598.435089","65.528","","","","","","","",""
"","","","","","","","","Senegal","12267493","1712.4721359999999","63.062","","","","","","","",""
"","","","","","","","","Sierra Leone","6144562","862.5407561000001","42.568000000000005","","","","","","","",""
"","","","","","","","","Somalia","9118773","926.1410683","48.159","","","","","","","",""
"","","","","","","","","South Africa","43997828","9269.657808","49.339","","","","","","","",""
"","","","","","","","","Sudan","42292929","2602.394995","58.556000000000004","","","","","","","",""
"","","","","","","","","Swaziland","1133066","4513.480643","39.613","","","","","","","",""
"","","","","","","","","Tanzania","38139640","1107.482182","52.516999999999996","","","","","","","",""
"","","","","","","","","Togo","5701579","882.9699437999999","58.42","","","","","","","",""
"","","","","","","","","Tunisia","10276158","7092.923025","73.923","","","","","","","",""
"","","","","","","","","Uganda","29170398","1056.3801210000001","51.542","","","","","","","",""
"","","","","","","","","Zambia","11746035","1271.211593","42.38399999999999","","","","","","","",""
"","","","","","","","","Zimbabwe","12311143","469.70929810000007","43.486999999999995","","","","","","","",""
